asin,overall,reviewText,summary
B0007RDM5Q,1.0,"The graphics seem dated and rushed.  The gameplay was laborious and after 30 minutes I simply could not play anymore as it seemed I was wasting my time.  I was playing with two player option, but the second player wound up always having to be a robot.  The second stage was having each character escape from the hospital and fight off robots and solve puzzles to open doors; I don't rememeber any of that in the movie.  I would not recommend.",-
B007P6Y684,1.0,Cheap,One Star
B00BQZ5EWW,1.0,"background history
I remember seeing ROME total war 1 trailer on x-play in the year 2005 and buying it at fifty dollars and only being able to run it on low settings using integrated graphics. Here is the list of total war games I played, ROME 1, Medieval 2, Empire, I skipped shogun 2 even though I bought it on steam.
Computer Specs:

i5 3570k
7850 1gb
8 gb ddr3
1tb hdd
500w

Graphics 4/5
The settings surprised me as they were set on extreme preset. Here I am with a 7850 im about to sell in another computer on ebay, with a gtx 760 2gb coming in tomorrow which won't improve anything on this game. as the 7850 1gb is good enough to run at 60 fps on extreme with small size armies, I know, I know thats not how you play a total war game. But it makes battles take up less time. Not that it matters in this game any more. average battle time is 5 minutes the troops move faster compared to medieval 2. The one thing I hate the most out of anything is the arrows, javlins, slingers animation. The grey lines that run across the screen and roman roman velites can ignite their javs. Aside from that I had problems with LOW RES textures, doing a quick search on the Internet I found a simple fix, enabling unlimited video memory on graphics options. the level of detail doubled. The in game benchmark shows a deer where it was blurry before It becomes more detailed. The facial animations is stellar. I mean you can actually see the nose on your troops and wrinkles on foreheads and its just detailed. Overall 4/5 on graphics

Gameplay 3/5
Graphics aren't everything especially in total war games, ROME 1 was fun to play because thats how it was developed, simple and fun. Rome 2 is an overhaul on just about everything. Its fun learning all the new features and theres an in game wiki to help you out if you need it. The wiki or in-game manual comes in handy even for familiar total war players. And will be twice as useful for new comers. On the campaign map at times I would get sleepy as I didn't know what the f all these new icons and features were. But that's me I noted that this is similar to CIV series. I never played those games and now you see why.

BUGS So far
LOW RES textures = fixed by enabling unlimited video memory.
Stuck on AI turn. = fixed by loading previous save game.

Worth every penny not right now, I know it seems hard but if you can wait just a month then catch it on a steam sale or it may be included in AMD's never settle bundles. I would wait, but thats easy for me to say I already have the game. Do what you want.
UPDATE-----------------
game sucks nuff said",ROME II: BETA cause thats the quality they released
B0016BVY7U,1.0,Do not buy this game! The installation code included inside the box doesn't work so this game is useless. I can't believe that EA are so inept that they won't even send a working code so I can install their evil securom but apparently they are. I can't believe EA calls pirates thieves when they sell games like this that are impossible to install because the installation code won't work. DO NOT BUY THIS GAME BECAUSE YOU MIGHT NOT BE ABLE TO INSTALL IT!,Game won't install because the included code doesn't work
B0178FWY62,1.0,Its loud AF. Like one of the fans is hitting something its so loud. If i push down on my ps4 on the stand it will not make the hitting sound and be a more tolerable sounding fan but its still loud. It charges the ps4 Controllers as advertised and ive only used one of the ports and it charged my vape pen so thats cool i guess. Still going to be a 1 star because im pretty sure this loud ass fan i can hear over my surround sound is going to go out by the end of the week. Also it does NOT cool my ps4. Its still warm as always.,Does not work as advertised.
B002EWD09A,1.0,"I don't know if it works with any other games, but I bought it for use with the original Rock Band.  After trying to get it to work for about an hour, I tried doing some internet searches to see make sure I was doing everything correctly.  It turns out I'm not the only one with problems.  So I'll save everyone the time right here.  Don't buy this product if you intend to use it with the original Rock Band game.  I've since purchased a different mic that works great.",Does not work with Rock Band
B000067DPX,1.0,Dump.,Dont waste your money...
B00AAS888S,1.0,"Terrible mouse, not worth the money at all. I've had a lot of problems with PC Mice, and decided to give this one a shot due to a recommendation from a friend, but mouse is incredibly cheap - the buttons are too sensitive to the point where just holding the mouse causes you to accidentally click ever 5 seconds. I'm very disappointed, I expected for the amount of money I paid to actually have a decent quality mouse but I guess I'll have to keep searching. You can get a mouse that is the same, or better quality for 10 buck; it feels just as cheap and you can buy more of them for the same price. Additionally, when you're moving the cursor, it will randomly shoot across as though it isn't sure where you're moving the cursor at all. It's incredibly cheap, and very overpriced for how bad of a mouse it is. Don't waste your time with this.",Don't waste your money
B00DBF829C,1.0,"I waited till I could buy FFXV for $20, because I knew I would dislike it. And I did! The Franchise has gone downhill since FFX, the last great FF game. FFXV is plagued by an incomprehensible story line, characters you do not give a crap about, mindless button mashing and another boring combat system, and camera problems. It is too bad developers these days, think all RPGs should be fast, over the top, real time action oriented. LEGEND OF HEROES / TRAIL OF THE COLD STEEL VOL 1 & 2, has proved that wrong. There still is a place for turn-based RPGs, with characters you care about, and a solid story line. (Vol. 3 is on the way)
If this over the top, action oriented path, is the route FFVII REMAKE is going to follow, then count me out! I have played the FF Series since it's inception, and FFVII has always held a special place in my heart, until LEGEND OF HEROES came along.
I believe there still is a solid market place for turn-based RPGs, with characters you care about, and an engrossing story line. Please give the LEGEND OF HEROES a try. It is what an RPG is supposed to deliver.
The old developers at SQUARE-ENIX are gone. And so is the anticipation of a forth-coming FF game.
Now, we await each new installment, with dread.",The Death Of Final Fantasy
B0042J7I3C,1.0,It's ten dollars and not much else to say they hurt your ears  after 20 mins and most the time it cuts me off and my firmed can't hear me you get what you pay for and I'd recommend a different mic also this sh*t took almost 2 weeks to get here will never buy from again,Ehh
B005THAX60,1.0,"I LOVE Aliens - movies and game of the past.

Did the developers of this game ever play AvsP2????

Perhaps this was meant to be a prequel to AvsP1  both in graphics and AI?

If I was a game developer and released this I would be embarrassed.  Sure I couldn't code a game of pong but if you give me the $$$ from the pre-orders for this game and I'll take a dump in a tin can and mail it out at least I won't ruin the Aliens franchise as much as this did.

If you don't have AvsP2 get that instead of this.",Won't waste your time with long review.
B00S9SH7V0,1.0,"*Do not order from Better Choice Online.
I received a used mouse but ordered a brand new one. Food crumbs in the buttons and everything. The mouse is great, Zowie makes the best gaming mice in MY opinion, so I know it's not Zowie's fault.",*Be careful who you buy from
